filter,buy_price_median,years_of_saving_for_26_35_median,years_of_saving_for_36_45_median,years_of_saving_for_46_55_median,years_of_saving_for_56_65_median
"sq_mt_built > 60, n_rooms >= 1",463000.0,22.711182622687048,35.870393900889454,13.118029739776953,4.579818299805321
"sq_mt_built > 89, n_rooms >= 2",564300.0,27.60096540627514,43.593392630241425,15.942379182156134,5.5658663205710575
