,subtitle,sq_mt_built,n_rooms,n_bathrooms,floor,buy_price,has_lift,is_exterior,has_terrace,has_parking,full_title
6295,Latina,42.0,1,1.0,0,87000,0.0,1.0,0.0,0,"Puerta del Ángel, Latina, Madrid"
6296,Latina,70.0,2,1.0,1,205000,0.0,1.0,1.0,0,"Lucero, Latina, Madrid"
6297,Latina,90.0,3,1.0,3,290000,1.0,1.0,1.0,0,"Puerta del Ángel, Latina, Madrid"
6298,Latina,65.0,3,1.0,2,149900,0.0,1.0,1.0,0,"Puerta del Ángel, Latina, Madrid"
6299,Latina,64.0,3,1.0,4,145000,0.0,1.0,0.0,0,"Águilas, Latina, Madrid"
6300,Aluche,80.0,2,2.0,0,195000,1.0,1.0,0.0,1,"calle los Yébenes, 116, Aluche, Madrid"
6301,Latina,70.0,2,1.0,0,189000,0.0,1.0,0.0,0,"Puerta del Ángel, Latina, Madrid"
6303,Latina,58.0,2,1.0,2,129000,0.0,1.0,1.0,0,"Lucero, Latina, Madrid"
6304,Aluche,140.0,4,2.0,1,451000,1.0,1.0,1.0,1,"calle Camarena, 2, Aluche, Madrid"
6305,Puerta del Ángel,105.0,4,2.0,4,390000,1.0,1.0,0.0,0,"Ático en venta en paseo de Extremadura, 55, Puerta del Ángel, Madrid"
6306,Aluche,90.0,3,1.0,9,200000,1.0,1.0,1.0,1,"calle Illescas, 207, Aluche, Madrid"
6307,Los Cármenes,90.0,3,2.0,0,240000,1.0,1.0,0.0,0,"calle de Escalonilla, 30, Los Cármenes, Madrid"
6308,Lucero,180.0,5,2.0,2,350000,0.0,1.0,0.0,0,"calle barrionuevo, 22, Lucero, Madrid"
6309,Lucero,84.0,2,1.0,3,239000,0.0,1.0,1.0,0,"paseo de Extremadura, 118, Lucero, Madrid"
6310,Águilas,75.0,3,1.0,1,160000,1.0,1.0,0.0,0,"calle José de Cadalso, 56, Águilas, Madrid"
6311,Puerta del Ángel,75.0,2,1.0,1,175000,1.0,1.0,0.0,0,"calle de Caramuel, 40, Puerta del Ángel, Madrid"
6312,Latina,64.0,2,1.0,1,229000,1.0,1.0,0.0,1,"Puerta del Ángel, Latina, Madrid"
