,subtitle,sq_mt_built,n_rooms,n_bathrooms,floor,buy_price,has_lift,is_exterior,has_terrace,has_parking,full_title
0,San Cristóbal,64.0,2,1.0,3,85000,0.0,1.0,0.0,0,"calle de Godella, 64, San Cristóbal, Madrid"
1,Los Ángeles,70.0,3,1.0,4,129900,1.0,1.0,1.0,0,"calle de la del Manojo de Rosas, Los Ángeles, Madrid"
2,San Andrés,94.0,2,2.0,1,144247,1.0,1.0,0.0,0,"calle del Talco, 68, San Andrés, Madrid"
3,San Andrés,64.0,2,1.0,0,109900,1.0,1.0,0.0,0,"calle Pedro Jiménez, San Andrés, Madrid"
4,Los Rosales,108.0,2,2.0,4,260000,1.0,1.0,0.0,1,"carretera de Villaverde a Vallecas, Los Rosales, Madrid"
5,San Andrés,126.0,4,2.0,3,195000,0.0,1.0,1.0,1,"geologia, San Andrés, Madrid"
6,San Andrés,120.0,5,2.0,1,190000,0.0,1.0,1.0,1,"avenida Real de Pinto, San Andrés, Madrid"
7,Villaverde,125.0,3,2.0,2,198500,0.0,1.0,1.0,0,"San Andrés, Villaverde, Madrid"
9,Los Rosales,85.0,2,1.0,7,131400,0.0,1.0,1.0,0,"calle de Martinez Oviol, Los Rosales, Madrid"
10,San Andrés,69.0,2,2.0,2,118000,0.0,1.0,1.0,0,"De la Plata - Villaverde, San Andrés, Madrid"
12,Los Rosales,123.0,3,2.0,4,195000,1.0,1.0,0.0,0,"calle de la Unanimidad, 67, Los Rosales, Madrid"
13,Los Ángeles,109.0,3,2.0,3,205000,1.0,1.0,1.0,0,"calle de Anoeta, 63, Los Ángeles, Madrid"
14,San Cristóbal,64.0,3,1.0,3,72000,0.0,1.0,1.0,0,"calle GODELLA, San Cristóbal, Madrid"
16,Villaverde,115.0,3,1.0,1,184900,0.0,1.0,1.0,0,"Los Rosales, Villaverde, Madrid"
17,Villaverde,65.0,3,1.0,4,90000,0.0,1.0,1.0,0,"Los Ángeles, Villaverde, Madrid"
18,Villaverde,75.0,3,1.0,3,129900,1.0,1.0,1.0,0,"San Andrés, Villaverde, Madrid"
19,Villaverde,60.0,2,1.0,0,94900,0.0,1.0,0.0,0,"San Cristóbal, Villaverde, Madrid"
20,Villaverde,60.0,2,1.0,2,89900,0.0,1.0,1.0,0,"San Andrés, Villaverde, Madrid"
21,Villaverde,95.0,4,2.0,4,144900,0.0,1.0,0.0,0,"Los Ángeles, Villaverde, Madrid"
22,Villaverde,76.0,3,1.0,2,110000,0.0,1.0,1.0,0,"San Andrés, Villaverde, Madrid"
26,San Andrés,75.0,3,1.0,3,138000,0.0,1.0,1.0,1,"COBALTO s/n, San Andrés, Madrid"
27,Villaverde,112.0,4,2.0,2,280000,1.0,1.0,0.0,1,"Butarque, Villaverde, Madrid"
28,Los Rosales,65.0,3,1.0,1,150000,1.0,1.0,0.0,0,"calle Villajoyosa, Los Rosales, Madrid"
29,San Andrés,70.0,2,1.0,3,145900,0.0,1.0,1.0,0,"paseo de Alberto Palacios, San Andrés, Madrid"
30,San Andrés,75.0,1,1.0,1,92500,1.0,1.0,0.0,0,"calle Laguna del Marquesado, San Andrés, Madrid"
31,Los Rosales,123.0,3,2.0,7,298000,1.0,1.0,0.0,1,"carretera de Villaverde a Vallecas, Los Rosales, Madrid"
33,Villaverde,72.0,2,1.0,3,138000,0.0,1.0,0.0,1,"San Andrés, Villaverde, Madrid"
34,Butarque,61.0,3,1.0,5,100000,0.0,1.0,0.0,0,"Concepción de la Oliva, 21, Butarque, Madrid"
35,San Andrés,71.0,3,1.0,1,131400,0.0,1.0,1.0,0,"San Neviano - Villaverde, San Andrés, Madrid"
36,Villaverde,87.0,3,1.0,2,96000,0.0,1.0,1.0,0,"Los Rosales, Villaverde, Madrid"
38,Los Ángeles,78.0,4,1.0,2,146700,1.0,1.0,0.0,0,"calle la Dolorosa, Los Ángeles, Madrid"
40,Butarque,125.0,3,3.0,7,275000,1.0,1.0,1.0,0,"Dúplex en venta en calle ESTEFANITA, Butarque, Madrid"
41,San Andrés,75.0,0,1.0,1,83800,1.0,1.0,1.0,0,"Estudio en venta en calle Laguna del Marquesado, San Andrés, Madrid"
42,Butarque,97.0,2,2.0,0,266122,1.0,1.0,1.0,0,"calle Arroyo de la Bulera, 31, Butarque, Madrid"
43,Butarque,93.0,2,2.0,7,228273,1.0,1.0,1.0,0,"calle Arroyo de la Bulera, 31, Butarque, Madrid"
44,Los Ángeles,103.0,4,2.0,1,171900,1.0,1.0,0.0,0,"calle de la del Manojo de Rosas, Los Ángeles, Madrid"
45,Butarque,83.0,2,2.0,7,228273,1.0,1.0,1.0,1,"Ático en venta en Villaverde a perales, Butarque, Madrid"
46,Los Rosales,45.0,2,1.0,1,85000,0.0,1.0,0.0,0,"calle de Juan José Martínez Seco, Los Rosales, Madrid"
48,Los Ángeles,74.0,3,1.0,1,139000,0.0,1.0,0.0,0,"calle la del Soto del Parral, 59, Los Ángeles, Madrid"
49,Butarque,125.0,3,2.0,7,272500,1.0,1.0,1.0,0,"Dúplex en venta en calle Estefanita, 6, Butarque, Madrid"
50,Butarque,126.0,4,2.0,0,275000,1.0,1.0,1.0,1,"calle Berrocal, Butarque, Madrid"
51,Butarque,158.0,3,2.0,4,289000,1.0,1.0,1.0,1,"Ático en venta en calle Euskalduna, 14, Butarque, Madrid"
53,Los Ángeles,108.0,3,2.0,4,179000,1.0,1.0,1.0,0,"calle Alcocer, Los Ángeles, Madrid"
54,Villaverde,62.0,2,1.0,0,123000,1.0,1.0,0.0,0,"San Andrés, Villaverde, Madrid"
55,Los Rosales,51.0,2,1.0,3,89500,0.0,1.0,1.0,0,"calle Topacio, Los Rosales, Madrid"
56,Butarque,112.0,3,2.0,3,289000,1.0,1.0,0.0,1,"calle Calcio, 15, Butarque, Madrid"
57,Butarque,109.0,3,2.0,2,216278,1.0,1.0,1.0,1,"calle Camas, 2, Butarque, Madrid"
58,Butarque,107.0,3,2.0,1,207503,1.0,1.0,1.0,1,"calle Camas, 2, Butarque, Madrid"
59,Butarque,76.0,2,2.0,3,162793,1.0,1.0,0.0,1,"calle Camas, 2, Butarque, Madrid"
60,Butarque,105.0,3,2.0,1,204999,1.0,1.0,1.0,1,"calle Camas, 2, Butarque, Madrid"
61,Butarque,109.0,3,2.0,4,220879,1.0,1.0,1.0,1,"calle Camas, 2, Butarque, Madrid"
62,Butarque,108.0,3,2.0,4,218258,1.0,1.0,1.0,1,"calle Camas, 2, Butarque, Madrid"
63,Butarque,109.0,3,2.0,0,231855,1.0,1.0,1.0,1,"calle Camas, 2, Butarque, Madrid"
64,Butarque,76.0,2,2.0,4,163397,1.0,1.0,0.0,1,"calle Camas, 2, Butarque, Madrid"
65,Butarque,76.0,2,2.0,2,160759,1.0,1.0,0.0,1,"calle Camas, 2, Butarque, Madrid"
66,Butarque,108.0,3,2.0,3,217169,1.0,1.0,1.0,1,"calle Camas, 2, Butarque, Madrid"
67,Butarque,76.0,2,2.0,5,165208,1.0,1.0,0.0,1,"calle Camas, 2, Butarque, Madrid"
68,Butarque,109.0,3,2.0,3,219775,1.0,1.0,1.0,1,"calle Camas, 2, Butarque, Madrid"
69,Butarque,108.0,3,2.0,0,230817,1.0,1.0,1.0,1,"calle Camas, 2, Butarque, Madrid"
70,Butarque,108.0,3,2.0,2,213722,1.0,1.0,1.0,1,"calle Camas, 2, Butarque, Madrid"
71,Butarque,111.0,2,2.0,6,230749,1.0,1.0,1.0,1,"Ático en venta en calle Ganados del Salobral , 12, Butarque, Madrid"
72,Butarque,115.0,3,2.0,2,233789,1.0,1.0,0.0,1,"calle Ganados del Salobral , 12, Butarque, Madrid"
73,Butarque,115.0,3,2.0,1,230789,1.0,1.0,0.0,1,"calle Ganados del Salobral , 12, Butarque, Madrid"
74,Butarque,117.0,3,2.0,1,244171,1.0,1.0,1.0,1,"calle Ganados del Salobral , 12, Butarque, Madrid"
75,Butarque,117.0,3,2.0,1,243468,1.0,1.0,1.0,1,"calle Ganados del Salobral , 12, Butarque, Madrid"
76,Butarque,117.0,3,2.0,1,244798,1.0,1.0,1.0,1,"calle Ganados del Salobral , 12, Butarque, Madrid"
77,Butarque,118.0,3,2.0,1,219235,1.0,1.0,0.0,1,"calle Ganados del Salobral , 12, Butarque, Madrid"
78,Butarque,115.0,3,2.0,5,242789,1.0,1.0,0.0,1,"calle Ganados del Salobral , 12, Butarque, Madrid"
80,Butarque,106.0,3,2.0,3,251569,1.0,1.0,1.0,0,"calle Arroyo de la Bulera, 31, Butarque, Madrid"
81,Butarque,103.0,3,2.0,3,235402,1.0,1.0,1.0,0,"calle Arroyo de la Bulera, 31, Butarque, Madrid"
82,Butarque,103.0,3,2.0,1,235172,1.0,1.0,1.0,0,"calle Arroyo de la Bulera, 31, Butarque, Madrid"
83,Butarque,103.0,3,2.0,5,236227,1.0,1.0,1.0,0,"calle Arroyo de la Bulera, 31, Butarque, Madrid"
84,Butarque,114.0,3,2.0,2,254710,1.0,1.0,1.0,0,"calle Arroyo de la Bulera, 31, Butarque, Madrid"
86,Butarque,140.0,3,3.0,7,272500,1.0,1.0,1.0,0,"Dúplex en venta en calle Estefanita, 6, Butarque, Madrid"
87,Los Rosales,58.0,3,1.0,2,85000,0.0,1.0,0.0,0,"calle del Estroncio, Los Rosales, Madrid"
88,San Cristóbal,65.0,3,1.0,1,94000,0.0,1.0,1.0,0,"calle Moncada, San Cristóbal, Madrid"
89,Los Rosales,110.0,4,2.0,1,175000,0.0,1.0,1.0,0,"calle de Martinez Oviol, Los Rosales, Madrid"
90,Villaverde,173.0,4,2.0,2,268000,1.0,1.0,0.0,1,"Butarque, Villaverde, Madrid"
91,Villaverde,75.0,2,1.0,3,156000,1.0,1.0,1.0,0,"Ático en venta en San Andrés, Villaverde, Madrid"
92,Butarque,90.0,1,1.0,7,183159,1.0,1.0,1.0,1,"Ático en venta en calle Ganados del Salobral , 12, Butarque, Madrid"
93,Los Rosales,125.0,3,2.0,1,210000,1.0,1.0,0.0,1,"calle de la Generosidad, 16, Los Rosales, Madrid"
94,San Andrés,58.0,2,1.0,0,85000,0.0,1.0,0.0,0,"calle de Tordegrillos, San Andrés, Madrid"
95,Los Ángeles,92.0,3,1.0,6,159900,1.0,1.0,1.0,0,"avenida de la Verbena de la Paloma, Los Ángeles, Madrid"
96,San Andrés,70.0,2,1.0,3,117000,0.0,1.0,0.0,0,"paseo Alberto Palacios, 35, San Andrés, Madrid"
97,San Andrés,54.0,2,1.0,2,110000,0.0,1.0,0.0,0,"calle Doctor Pérez Domínguez, 2, San Andrés, Madrid"
98,Villaverde,52.0,2,1.0,1,100000,0.0,1.0,0.0,0,"Los Rosales, Villaverde, Madrid"
99,San Andrés,108.0,3,1.0,2,140000,0.0,1.0,1.0,0,"calle de los Cacereños, San Andrés, Madrid"
100,Los Rosales,65.0,2,1.0,3,106500,0.0,1.0,1.0,0,"calle de Campos Ibáñez, Los Rosales, Madrid"
101,Los Rosales,102.0,3,2.0,3,127500,0.0,1.0,1.0,0,"calle DIAMANTE, Los Rosales, Madrid"
102,San Andrés,80.0,2,1.0,3,148000,1.0,1.0,1.0,1,"calle Transversal Sexta, San Andrés, Madrid"
103,Butarque,108.0,2,1.0,4,205000,1.0,1.0,1.0,1,"Dúplex en venta en calle Canchal, Butarque, Madrid"
104,Los Rosales,80.0,3,2.0,4,220000,1.0,1.0,0.0,1,"calle Diamante, Los Rosales, Madrid"
105,Los Rosales,16.0,3,1.0,1,114000,0.0,1.0,0.0,0,"calle Platino, Los Rosales, Madrid"
106,San Andrés,54.0,2,1.0,3,89900,0.0,1.0,1.0,0,"calle Gómez Acebo, San Andrés, Madrid"
107,Los Rosales,70.0,2,2.0,4,210000,1.0,1.0,0.0,1,"calle Pilar Lorengar, Los Rosales, Madrid"
108,San Andrés,99.0,2,2.0,1,145000,1.0,1.0,0.0,0,"calle Salsipuedes, San Andrés, Madrid"
109,Los Rosales,123.0,4,2.0,3,275000,1.0,1.0,1.0,0,"avenida de la Felicidad, Los Rosales, Madrid"
110,Los Ángeles,64.0,3,1.0,5,104000,0.0,1.0,0.0,0,"calle Escoriaza, Los Ángeles, Madrid"
111,Butarque,107.0,3,2.0,6,228629,1.0,1.0,1.0,1,"calle Camas, 2, Butarque, Madrid"
112,Butarque,76.0,2,2.0,6,169021,1.0,1.0,0.0,1,"calle Camas, 2, Butarque, Madrid"
113,Butarque,109.0,3,2.0,5,223022,1.0,1.0,1.0,1,"calle Camas, 2, Butarque, Madrid"
114,Butarque,108.0,3,2.0,5,220072,1.0,1.0,1.0,1,"calle Camas, 2, Butarque, Madrid"
115,Butarque,103.0,3,2.0,6,235718,1.0,1.0,1.0,0,"calle Arroyo de la Bulera, 31, Butarque, Madrid"
116,Butarque,103.0,3,2.0,1,245000,1.0,1.0,0.0,1,"calle de las Viñas del Rio, 16, Butarque, Madrid"
117,Butarque,143.0,3,2.0,0,260000,1.0,1.0,0.0,1,"calle de las Viñas del Rio, 16, Butarque, Madrid"
118,Butarque,99.0,3,2.0,6,235000,1.0,1.0,0.0,1,"calle de las Viñas del Rio, 16, Butarque, Madrid"
119,Butarque,100.0,3,2.0,3,235000,1.0,1.0,0.0,1,"calle de las Viñas del Rio, 16, Butarque, Madrid"
120,Butarque,176.0,2,2.0,6,265000,1.0,1.0,0.0,1,"calle de las Viñas del Rio, 16, Butarque, Madrid"
121,Butarque,87.0,2,2.0,2,190000,1.0,1.0,0.0,1,"calle de las Viñas del Rio, 16, Butarque, Madrid"
122,Butarque,106.0,3,2.0,4,256115,1.0,1.0,1.0,0,"calle Arroyo de la Bulera, 31, Butarque, Madrid"
123,Butarque,113.0,3,2.0,0,261989,1.0,1.0,1.0,0,"calle Arroyo de la Bulera, 31, Butarque, Madrid"
124,Butarque,115.0,3,2.0,1,273353,1.0,1.0,1.0,0,"calle Arroyo de la Bulera, 31, Butarque, Madrid"
125,Butarque,129.0,3,2.0,7,297621,1.0,1.0,1.0,0,"calle Arroyo de la Bulera, 31, Butarque, Madrid"
126,Butarque,115.0,3,2.0,6,279778,1.0,1.0,1.0,0,"calle Arroyo de la Bulera, 31, Butarque, Madrid"
127,Villaverde,110.0,2,2.0,0,135000,0.0,1.0,1.0,0,"San Andrés, Villaverde, Madrid"
128,Los Ángeles,90.0,3,2.0,2,195000,1.0,1.0,1.0,0,"calle Anoeta, 59, Los Ángeles, Madrid"
129,Los Rosales,60.0,2,1.0,1,126900,0.0,1.0,0.0,0,"calle de Sáhara, Los Rosales, Madrid"
131,San Andrés,80.0,3,1.0,0,145000,0.0,1.0,1.0,0,"calle Nuestra Señora de Begoña s/n, San Andrés, Madrid"
132,San Andrés,73.0,2,1.0,1,127500,1.0,1.0,0.0,0,"calle de Tordegrillos, San Andrés, Madrid"
133,San Andrés,122.0,3,2.0,0,179000,1.0,1.0,0.0,1,"calle Transversal Sexta, San Andrés, Madrid"
134,Butarque,98.0,3,2.0,0,266122,1.0,1.0,1.0,1,"Villaverde a Perales, Butarque, Madrid"
135,Butarque,97.0,3,2.0,0,261989,1.0,1.0,1.0,1,"villaverde a perales, Butarque, Madrid"
136,Butarque,111.0,3,2.0,7,297621,1.0,1.0,1.0,1,"Ático en venta en villaverde a perales, Butarque, Madrid"
137,Butarque,99.0,3,2.0,3,251569,1.0,1.0,1.0,1,"villaverde a perales, Butarque, Madrid"
138,Villaverde,77.0,3,1.0,1,113500,0.0,1.0,0.0,0,"Los Rosales, Villaverde, Madrid"
139,San Andrés,85.0,3,1.0,4,138000,0.0,1.0,1.0,0,"paseo de Alberto Palacios, Madrid, 86, San Andrés, Madrid"
140,Butarque,90.0,3,2.0,2,225000,1.0,1.0,0.0,1,"calle Limonita, 5, Butarque, Madrid"
141,Los Rosales,133.0,2,1.0,6,264000,1.0,1.0,1.0,1,"calle Flora Tristán, 1, Los Rosales, Madrid"
142,Los Rosales,60.0,3,1.0,2,98260,0.0,1.0,0.0,0,"EDUARDO MINGUITO, Los Rosales, Madrid"
143,Butarque,133.0,3,3.0,7,275000,1.0,1.0,1.0,0,"calle Estefanita, Butarque, Madrid"
144,San Andrés,85.0,2,1.0,2,124000,0.0,1.0,0.0,0,"calle Emilia Ballester, San Andrés, Madrid"
145,Los Ángeles,59.0,2,2.0,3,164513,1.0,1.0,1.0,1,"calle La Pícara Molinera esquina C/ El Caserío s/n, Los Ángeles, Madrid"
146,Los Ángeles,59.0,2,2.0,1,164416,1.0,1.0,1.0,1,"calle La Pícara Molinera esquina C/ El Caserío s/n, Los Ángeles, Madrid"
147,Los Ángeles,58.0,2,2.0,4,165435,1.0,1.0,1.0,1,"calle La Pícara Molinera esquina C/ El Caserío s/n, Los Ángeles, Madrid"
148,Los Ángeles,79.0,3,2.0,1,202629,1.0,1.0,1.0,1,"calle La Pícara Molinera esquina C/ El Caserío s/n, Los Ángeles, Madrid"
149,Los Ángeles,60.0,2,2.0,0,164242,1.0,1.0,1.0,1,"calle La Pícara Molinera esquina C/ El Caserío s/n, Los Ángeles, Madrid"
150,Los Rosales,121.0,3,2.0,3,260000,1.0,1.0,1.0,1,"calle María de Echarri, 11, Los Rosales, Madrid"
151,San Andrés,126.0,3,2.0,2,294900,1.0,1.0,1.0,1,"calle San Jenaro esquina Calle Alcocer, 1, San Andrés, Madrid"
152,San Andrés,134.0,4,2.0,1,319900,1.0,1.0,1.0,1,"calle San Jenaro esquina Calle Alcocer, 1, San Andrés, Madrid"
153,San Andrés,111.0,3,2.0,1,259900,1.0,1.0,1.0,1,"calle San Jenaro esquina Calle Alcocer, 1, San Andrés, Madrid"
154,San Andrés,122.0,3,2.0,2,285900,1.0,1.0,1.0,1,"calle San Jenaro esquina Calle Alcocer, 1, San Andrés, Madrid"
155,San Andrés,125.0,3,2.0,1,289900,1.0,1.0,1.0,1,"calle San Jenaro esquina Calle Alcocer, 1, San Andrés, Madrid"
156,San Andrés,102.0,2,2.0,1,249900,1.0,1.0,1.0,1,"calle San Jenaro esquina Calle Alcocer, 1, San Andrés, Madrid"
157,Butarque,104.0,3,2.0,1,273352,1.0,1.0,1.0,1,"villaverde a perales s/n, Butarque, Madrid"
158,San Cristóbal,66.0,3,1.0,1,104900,1.0,1.0,1.0,0,"calle MONCADA, San Cristóbal, Madrid"
159,San Andrés,95.0,2,1.0,2,155000,0.0,1.0,1.0,0,"camino Leganés, San Andrés, Madrid"
160,San Cristóbal,74.0,3,1.0,1,100000,0.0,1.0,0.0,0,"calle de Paterna, San Cristóbal, Madrid"
161,Butarque,97.0,2,1.0,0,210000,1.0,1.0,1.0,1,"calle Euskalduna, Butarque, Madrid"
162,San Andrés,90.0,2,2.0,7,240000,1.0,1.0,0.0,1,"Ático en venta en calle Lenguas, San Andrés, Madrid"
163,San Andrés,130.0,4,2.0,3,257000,1.0,1.0,1.0,0,"calle Huerta de villaverde, San Andrés, Madrid"
164,San Andrés,49.0,2,1.0,0,84000,1.0,1.0,0.0,0,"plaza de Gómez Acebo, San Andrés, Madrid"
165,Los Rosales,151.0,3,2.0,6,314000,1.0,1.0,0.0,1,"calle Augustóbriga, 5, Los Rosales, Madrid"
166,San Cristóbal,69.0,3,1.0,4,107000,0.0,1.0,1.0,0,"Benimamet, San Cristóbal, Madrid"
167,Butarque,170.0,3,2.0,8,325000,1.0,1.0,1.0,1,"Ático en venta en calle Calcio, 20, Butarque, Madrid"
169,Los Rosales,98.0,3,2.0,7,284900,1.0,1.0,0.0,1,"calle Flora Tristán, 10, Los Rosales, Madrid"
170,San Andrés,50.0,1,1.0,7,135000,1.0,1.0,0.0,1,"calle Lenguas, 18 B, San Andrés, Madrid"
171,San Andrés,136.0,3,2.0,5,230000,1.0,1.0,1.0,1,"Ático en venta en calle Transversal Sexta, San Andrés, Madrid"
172,Villaverde,80.0,3,1.0,3,163000,1.0,1.0,0.0,0,"Los Ángeles, Villaverde, Madrid"
173,San Andrés,95.0,3,1.0,2,185000,0.0,1.0,1.0,0,"camino Leganés, San Andrés, Madrid"
174,Villaverde,56.0,3,1.0,5,80000,0.0,1.0,1.0,0,"Los Ángeles, Villaverde, Madrid"
175,Los Rosales,43.0,1,1.0,0,84000,0.0,1.0,0.0,0,"calle Eduardo Minguito, Los Rosales, Madrid"
176,Villaverde,72.0,3,1.0,3,119900,1.0,1.0,1.0,0,"San Andrés, Villaverde, Madrid"
177,Villaverde,100.0,4,2.0,1,154900,1.0,1.0,0.0,0,"Los Ángeles, Villaverde, Madrid"
178,Villaverde,70.0,3,1.0,4,119900,1.0,1.0,1.0,0,"Los Ángeles, Villaverde, Madrid"
179,Villaverde,60.0,2,1.0,0,79900,0.0,1.0,0.0,0,"San Cristóbal, Villaverde, Madrid"
180,Villaverde,60.0,2,1.0,2,79900,0.0,1.0,1.0,0,"San Andrés, Villaverde, Madrid"
181,Villaverde,91.0,3,2.0,3,129900,0.0,1.0,0.0,0,"Los Ángeles, Villaverde, Madrid"
182,Villaverde,74.0,3,1.0,2,99900,0.0,1.0,1.0,0,"San Andrés, Villaverde, Madrid"
183,Butarque,110.0,3,2.0,5,275000,1.0,1.0,0.0,1,"calle Calcio, 15, Butarque, Madrid"
184,San Andrés,83.0,3,1.0,3,91500,0.0,1.0,1.0,0,"calle tordegrillos, San Andrés, Madrid"
186,San Andrés,65.0,2,1.0,1,86860,0.0,1.0,0.0,0,"calle Covachuelas, San Andrés, Madrid"
187,Butarque,58.0,3,1.0,3,105000,0.0,1.0,0.0,0,"calle Concepción de la Oliva, Butarque, Madrid"
188,Butarque,115.0,3,2.0,6,216000,1.0,1.0,0.0,1,"calle de Berrocal, Butarque, Madrid"
189,San Andrés,82.0,3,1.0,4,120000,0.0,1.0,0.0,0,"paseo DE LAS MORERAS, San Andrés, Madrid"
190,San Andrés,83.0,3,1.0,0,135000,1.0,1.0,0.0,0,"calle Huerta de Villaverde, San Andrés, Madrid"
191,Butarque,90.0,2,1.0,0,212000,1.0,1.0,0.0,0,"calle de Berrocal, Butarque, Madrid"
192,San Cristóbal,95.0,2,2.0,5,184000,1.0,1.0,0.0,0,"GODELLA, San Cristóbal, Madrid"
193,San Andrés,89.0,3,1.0,0,160000,0.0,1.0,1.0,0,"calle COLONIA BUTANO, San Andrés, Madrid"
194,Los Rosales,178.0,4,2.0,5,299990,1.0,1.0,0.0,1,"María de Echarri, Los Rosales, Madrid"
195,Los Rosales,59.0,2,1.0,2,117000,0.0,1.0,1.0,0,"calle Fuente de la Capona, Los Rosales, Madrid"
196,Los Ángeles,100.0,4,1.0,0,165000,1.0,1.0,0.0,0,"calle de la Alegría de la Huerta, Los Ángeles, Madrid"
197,San Andrés,68.0,3,1.0,4,95000,0.0,1.0,1.0,0,"calle Puerto Lápice, San Andrés, Madrid"
198,Villaverde,50.0,2,1.0,2,106000,0.0,1.0,0.0,0,"San Andrés, Villaverde, Madrid"
199,Villaverde,114.0,4,2.0,2,229000,1.0,1.0,1.0,0,"San Andrés, Villaverde, Madrid"
200,San Andrés,81.0,3,2.0,3,155000,1.0,1.0,0.0,1,"calle Transversal Sexta, San Andrés, Madrid"
201,Butarque,91.0,2,2.0,5,228208,1.0,1.0,1.0,1,"villaverde a perales, Butarque, Madrid"
202,Butarque,95.0,3,1.0,3,100000,0.0,1.0,0.0,0,"calle Tántalo, Butarque, Madrid"
203,Villaverde,80.0,3,1.0,0,140000,0.0,1.0,1.0,0,"San Andrés, Villaverde, Madrid"
205,Los Ángeles,80.0,3,1.0,3,165000,1.0,1.0,1.0,0,"calle Alcocer, Los Ángeles, Madrid"
206,San Cristóbal,60.0,2,1.0,5,73000,1.0,1.0,0.0,0,"Rocafort, San Cristóbal, Madrid"
207,San Andrés,50.0,1,1.0,6,159000,1.0,1.0,0.0,1,"calle Lenguas, San Andrés, Madrid"
208,Villaverde,136.0,3,1.0,1,135990,0.0,1.0,1.0,0,"San Andrés, Villaverde, Madrid"
209,Los Ángeles,96.0,2,2.0,7,210000,1.0,1.0,1.0,1,"calle de Eduardo Barreiros, Los Ángeles, Madrid"
210,Los Rosales,71.0,2,2.0,2,198000,1.0,1.0,0.0,0,"calle de Clara Schumann, Los Rosales, Madrid"
211,Los Rosales,74.0,2,1.0,1,139900,0.0,1.0,0.0,0,"calle Diamante, Madrid, Los Rosales, Madrid"
212,San Cristóbal,65.0,2,1.0,2,110000,0.0,1.0,0.0,0,"calle Moncada, San Cristóbal, Madrid"
213,Villaverde,93.0,3,1.0,9,160000,1.0,1.0,1.0,0,"Los Ángeles, Villaverde, Madrid"
214,San Andrés,75.0,3,1.0,2,103000,0.0,1.0,1.0,0,"paseo de alberto palacios, San Andrés, Madrid"
215,Los Rosales,63.0,3,1.0,1,100000,0.0,0.0,0.0,0,"calle Eduardo Minguito, 13, Los Rosales, Madrid"
216,Villaverde,65.0,3,1.0,4,90000,0.0,1.0,1.0,0,"San Andrés, Villaverde, Madrid"
218,San Cristóbal,63.0,2,1.0,2,82260,1.0,1.0,0.0,0,"calle Benimamet, San Cristóbal, Madrid"
219,Villaverde,72.0,3,1.0,6,139400,1.0,1.0,1.0,0,"Los Ángeles, Villaverde, Madrid"
220,San Andrés,100.0,2,2.0,0,154900,1.0,1.0,0.0,1,"calle Principal, 16, San Andrés, Madrid"
221,San Andrés,90.0,3,2.0,3,155000,1.0,1.0,1.0,1,"calle Transversal Sexta, 10, San Andrés, Madrid"
222,San Cristóbal,66.0,3,1.0,2,88000,0.0,1.0,0.0,0,"calle de Beniferri, San Cristóbal, Madrid"
223,Los Ángeles,102.0,3,2.0,5,225000,1.0,1.0,1.0,0,"calle Hermandad de Donantes de Sangre, 1, Los Ángeles, Madrid"
224,Villaverde,105.0,2,1.0,6,189000,1.0,1.0,1.0,1,"Los Rosales, Villaverde, Madrid"
225,Los Rosales,95.0,4,1.0,4,138000,0.0,1.0,1.0,0,"BENITA LOPEZ, Los Rosales, Madrid"
226,Los Ángeles,120.0,3,1.0,2,195000,1.0,1.0,0.0,0,"avenida VERBENA DE LA PALOMA, 17, Los Ángeles, Madrid"
227,Butarque,90.0,3,2.0,4,222000,1.0,1.0,0.0,1,"calle de la Esmaltina, 1, Butarque, Madrid"
228,Los Rosales,64.0,3,1.0,0,80500,0.0,1.0,1.0,0,"calle de Sáhara, 83, Los Rosales, Madrid"
229,Los Ángeles,80.0,3,1.0,3,182000,1.0,1.0,1.0,0,"calle la Dolorosa, 10, Los Ángeles, Madrid"
230,San Andrés,120.0,3,2.0,2,295000,0.0,1.0,1.0,1,"calle Antimonio, 7, San Andrés, Madrid"
231,Los Ángeles,82.0,2,2.0,6,270000,1.0,1.0,0.0,1,"calle Eduardo Barreiros, 128, Los Ángeles, Madrid"
232,Butarque,81.0,3,1.0,3,116100,0.0,1.0,0.0,0,"calle Vicente Carballal, Butarque, Madrid"
233,Los Rosales,103.0,3,2.0,4,250000,1.0,1.0,0.0,1,"calle María Barrientos, 4, Los Rosales, Madrid"
234,Villaverde,63.0,3,1.0,4,79900,0.0,1.0,1.0,0,"Los Ángeles, Villaverde, Madrid"
235,San Cristóbal,70.0,3,1.0,3,99000,1.0,1.0,0.0,0,"burjasot, San Cristóbal, Madrid"
237,Villaverde,45.0,2,1.0,3,105000,0.0,1.0,0.0,0,"Los Rosales, Villaverde, Madrid"
238,Los Rosales,95.0,3,1.0,2,130000,0.0,1.0,1.0,0,"LEONOR GONGORA, Los Rosales, Madrid"
239,Los Rosales,70.0,3,1.0,2,120000,0.0,1.0,0.0,0,"calle Santa Florencia, 15, Los Rosales, Madrid"
240,Los Rosales,71.0,3,1.0,1,149000,1.0,1.0,0.0,0,"calle Villajoyosa, Los Rosales, Madrid"
241,Los Rosales,70.0,3,1.0,3,135000,1.0,1.0,0.0,0,"calle Villajoyosa, Los Rosales, Madrid"
