,subtitle,sq_mt_built,n_rooms,n_bathrooms,floor,buy_price,has_lift,is_exterior,has_terrace,has_parking,full_title,years_of_saving_for_26_35,years_of_saving_for_36_45,years_of_saving_for_46_55,years_of_saving_for_56_65
16453,Guindalera,75.0,1,1.0,1,346618,1.0,1.0,1.0,1,"calle Cartagena, 50, Guindalera, Madrid",17.093386967015284,26.99756035578145,9.873178438661709,3.4469630110317975
16454,Guindalera,229.0,3,3.0,6,1099860,1.0,1.0,1.0,1,"Ático en venta en calle Cartagena, 50, Guindalera, Madrid",53.45261464199517,84.42388818297331,30.87434944237918,10.778974691758597
16455,Recoletos,312.0,4,5.0,2,2500000,1.0,1.0,1.0,0,"calle de Claudio Coello, Recoletos, Madrid",121.03781174577635,191.1689961880559,69.91171003717471,24.40785204412719
16456,Goya,149.0,3,2.0,4,840000,1.0,1.0,0.0,0,"calle de Alcalá, 191, Goya, Madrid",40.90909090909091,64.61245235069886,23.62918215613383,8.249513303049968
16457,Barrio de Salamanca,358.0,4,5.0,2,1600000,1.0,1.0,1.0,0,"Goya, Barrio de Salamanca, Madrid",77.59452936444087,122.55400254129606,44.81877323420074,15.647306943543153
16458,Barrio de Salamanca,146.0,5,3.0,4,660000,1.0,1.0,0.0,0,"Guindalera, Barrio de Salamanca, Madrid",32.220434432823815,50.88945362134689,18.610594795539033,6.49740428293316
16459,Barrio de Salamanca,98.0,2,1.0,2,550000,1.0,1.0,0.0,0,"Goya, Barrio de Salamanca, Madrid",26.910699919549476,42.50317662007624,15.543680297397769,5.426670992861778
16460,Barrio de Salamanca,93.0,2,2.0,5,585000,1.0,0.0,0.0,1,"Goya, Barrio de Salamanca, Madrid",28.600160901045857,45.1715374841169,16.519516728624534,5.76735885788449
16461,Barrio de Salamanca,326.0,5,7.0,1,2100000,1.0,1.0,1.0,0,"Castellana, Barrio de Salamanca, Madrid",101.72968624296058,160.67344345616263,58.7592936802974,20.51427644386762
16462,Barrio de Salamanca,290.0,4,4.0,5,2500000,1.0,1.0,0.0,0,"Castellana, Barrio de Salamanca, Madrid",121.03781174577635,191.1689961880559,69.91171003717471,24.40785204412719
16463,Barrio de Salamanca,180.0,4,2.0,1,1050000,1.0,1.0,0.0,0,"Castellana, Barrio de Salamanca, Madrid",51.04585679806919,80.62261753494282,29.484200743494423,10.293640493186242
